Year,State,Region,Average WBA,Maximum WBA,Minimum WBA,Average Weekly Wage,Indexer,Non-indexer,Recipiency Rate,Replacement Ratio 1,Replacement Ratio 2,National CPI-U,Regional CPI-U,"Real Average WBA (base 2004, region)","Real Maximum WBA (base 2004, region)","Real Average WBA (base 2004, nation)","Real Maximum WBA (base 2004, nation)","Real Average WBA (base 2024, region)","Real Maximum WBA (base 2024, region)","Real Average WBA (base 2024, nation)","Real Maximum WBA (base 2024, nation)"
2001,TN,South,205.9,255.0,30.0,485.05,False,True,0.46830016284655,0.464,0.424,177.1,171.1,218.78,270.95,219.62,271.99,367.26,454.84,364.7,451.67
2001,TX,South,244.87,294.0,48.0,636.86,False,False,0.28981408446544,0.472,0.384,177.1,171.1,260.18,312.39,261.19,313.59,436.77,524.4,433.73,520.75
2001,UT,West,262.16,355.0,22.0,576.94,True,False,0.30846389813089,0.501,0.454,177.1,181.2,279.23,378.12,279.63,378.65,481.7,652.29,464.35,628.8
2001,VA,South,224.24,268.0,50.0,619.92,False,True,0.29095022872841,0.454,0.362,177.1,171.1,238.26,284.76,239.18,285.86,399.97,478.03,397.19,474.7
2001,VT,Northeast,231.27,,,470.95,True,False,0.53421505160262,0.518,0.491,177.1,184.4,251.09,,246.68,,406.85,,409.64,
2001,WA,West,312.12,441.0,94.0,646.35,True,False,0.50459986998262,0.517,0.483,177.1,181.2,332.45,469.72,332.92,470.38,573.5,810.31,552.84,781.12
2001,WI,Midwest,252.05,313.0,46.0,545.58,False,True,0.58001959377898,0.502,0.462,177.1,172.8,266.34,330.75,268.84,333.85,423.54,525.96,446.44,554.4
2001,WV,South,205.62,327.0,24.0,522.62,True,False,0.3539433103465,0.418,0.393,177.1,171.1,218.48,347.45,219.32,348.79,366.76,583.26,364.21,579.2
2001,WY,West,218.38,271.0,20.0,480.0,True,False,0.28440415879064,0.493,0.455,177.1,181.2,232.6,288.65,232.93,289.06,401.26,497.95,386.81,480.01
2002,AK,West,173.3,248.0,44.0,616.03,False,True,0.60106542625236,0.319,0.281,179.9,184.7,181.09,259.14,181.97,260.41,312.4,447.05,302.18,432.43
2002,AL,South,171.69,190.0,45.0,460.27,False,True,0.33066732382202,0.425,0.373,179.9,173.3,180.11,199.32,180.28,199.51,302.35,334.6,299.37,331.3
2002,AR,South,227.5,333.0,60.0,455.79,True,False,0.5382424169135,0.523,0.499,179.9,173.3,238.66,349.33,238.88,349.66,400.63,586.42,396.69,580.65
2002,AZ,West,188.6,205.0,40.0,602.99,False,True,0.27003631676307,0.391,0.313,179.9,184.7,197.08,214.21,198.04,215.26,339.98,369.54,328.86,357.46
2002,CA,West,225.21,330.0,40.0,726.81,False,True,0.45893317318848,0.393,0.31,179.9,184.7,235.33,344.83,236.48,346.51,405.97,594.87,392.7,575.42
2002,CO,West,320.39,390.0,25.0,811.58,True,False,0.29754713533264,0.469,0.395,179.9,184.7,334.79,407.53,336.42,409.51,577.54,703.02,558.66,680.04
2002,CT,Northeast,280.45,406.0,15.0,697.57,True,False,0.65687248479669,0.441,0.402,179.9,188.2,298.33,431.89,294.48,426.31,483.41,699.81,489.02,707.94
2002,DC,South,296.2,309.0,50.0,738.14,True,False,0.34551799786564,0.501,0.401,179.9,173.3,310.73,324.16,311.02,324.46,521.62,544.16,516.48,538.8
2002,DE,South,253.32,330.0,20.0,610.53,False,True,0.48534493972261,0.455,0.415,179.9,173.3,265.74,346.19,265.99,346.51,446.1,581.14,441.71,575.42
2002,FL,South,230.32,275.0,32.0,602.44,False,True,0.31841505161422,0.449,0.382,179.9,173.3,241.62,288.49,241.84,288.76,405.6,484.28,401.61,479.51
2002,GA,South,245.38,284.0,39.0,663.04,False,True,0.31873306885862,0.449,0.37,179.9,173.3,257.42,297.93,257.66,298.21,432.12,500.13,427.87,495.21
2002,HI,West,306.89,395.0,5.0,606.54,True,False,0.50064075158888,0.578,0.506,179.9,184.7,320.68,412.75,322.24,414.76,553.21,712.04,535.12,688.76
2002,IA,Midwest,245.63,283.0,42.0,525.89,True,False,0.48328007964041,0.508,0.467,179.9,174.9,256.44,295.46,257.92,297.16,407.8,469.84,428.3,493.46
2002,ID,West,239.04,315.0,51.0,508.6,True,False,0.48762540940273,0.507,0.47,179.9,184.7,249.78,329.16,251.0,330.76,430.9,567.83,416.81,549.26
2002,IL,Midwest,253.74,326.0,51.0,746.69,True,False,0.44981572922375,0.397,0.34,179.9,174.9,264.91,340.35,266.43,342.31,421.26,541.23,442.44,568.44
2002,IN,Midwest,266.03,312.0,50.0,570.35,False,True,0.38299581501901,0.513,0.466,179.9,174.9,277.74,325.74,279.34,327.61,441.66,517.98,463.87,544.03
2002,KS,Midwest,278.14,333.0,83.0,608.07,True,False,0.39355722667002,0.51,0.457,179.9,174.9,290.39,347.66,292.05,349.66,461.77,552.85,484.99,580.65
2002,KY,South,262.88,329.0,39.0,558.74,True,False,0.36631087600788,0.526,0.47,179.9,173.3,275.77,345.14,276.03,345.46,462.94,579.38,458.38,573.67
2002,LA,South,203.71,258.0,10.0,478.37,True,False,0.30236332046595,0.469,0.426,179.9,173.3,213.7,270.65,213.9,270.91,358.74,454.35,355.21,449.87
2002,MA,Northeast,356.33,512.0,29.0,858.64,True,False,0.64840932110575,0.461,0.415,179.9,188.2,379.05,544.65,374.16,537.61,614.2,882.53,621.33,892.77
2002,MD,South,233.41,280.0,25.0,630.45,False,True,0.35170478703885,0.461,0.37,179.9,173.3,244.86,293.73,245.09,294.01,411.04,493.09,406.99,488.23
2002,ME,Northeast,225.49,272.0,47.0,481.81,True,False,0.42533780877974,0.514,0.468,179.9,188.2,239.87,289.34,236.77,285.61,388.67,468.84,393.18,474.28
2002,MI,Midwest,275.27,300.0,81.0,643.56,False,True,0.48425903265664,0.481,0.428,179.9,174.9,287.39,313.21,289.04,315.01,457.0,498.06,479.98,523.11
2002,MN,Midwest,318.25,452.0,38.0,737.98,True,False,0.48063673609901,0.481,0.431,179.9,174.9,332.26,471.9,334.17,474.61,528.36,750.41,554.93,788.15
2002,MO,Midwest,209.51,250.0,40.0,581.91,False,True,0.41707387725739,0.429,0.36,179.9,174.9,218.73,261.01,219.99,262.51,347.83,415.05,365.32,435.92
2002,MS,South,170.41,200.0,30.0,417.64,False,True,0.33554121242136,0.46,0.408,179.9,173.3,178.77,209.81,178.94,210.01,300.1,352.21,297.14,348.74
2002,MT,West,216.18,286.0,68.0,539.89,True,False,0.43942595662603,0.439,0.4,179.9,184.7,225.89,298.85,227.0,300.31,389.69,515.55,376.95,498.69
2002,NC,South,264.92,396.0,15.0,534.02,True,False,0.37199812417536,0.523,0.496,179.9,173.3,277.91,415.42,278.17,415.81,466.53,697.37,461.94,690.5
2002,ND,Midwest,226.07,290.0,43.0,514.76,True,False,0.3947474330359,0.472,0.439,179.9,174.9,236.02,302.77,237.38,304.51,375.32,481.46,394.19,505.67
2002,NE,Midwest,213.06,262.0,36.0,523.02,False,False,0.3735538780738,0.452,0.407,179.9,174.9,222.44,273.53,223.72,275.11,353.72,434.97,371.51,456.85
2002,NH,Northeast,267.13,331.0,32.0,722.66,False,True,0.31601050476069,0.424,0.37,179.9,188.2,284.16,352.11,280.49,347.56,460.45,570.54,465.79,577.16
2002,NJ,Northeast,335.48,446.0,61.0,733.66,True,False,0.53640424961809,0.522,0.457,179.9,188.2,356.87,474.44,352.26,468.31,578.26,768.76,584.97,777.68
2002,NM,West,213.59,277.0,52.0,502.16,True,False,0.31250122109212,0.476,0.425,179.9,184.7,223.19,289.45,224.28,290.86,385.02,499.33,372.43,483.0
2002,NV,West,247.27,301.0,16.0,589.58,True,False,0.48794562820549,0.491,0.419,179.9,184.7,258.38,314.53,259.64,316.06,445.74,542.59,431.16,524.85
2002,NY,Northeast,294.62,405.0,40.0,742.54,False,True,0.43537188387834,0.468,0.397,179.9,188.2,313.41,430.82,309.36,425.26,507.83,698.09,513.72,706.19
2002,OH,Midwest,246.71,308.0,86.0,676.91,True,False,0.39248663355346,0.427,0.364,179.9,174.9,257.57,321.56,259.05,323.41,409.59,511.34,430.18,537.06
2002,OK,South,239.85,304.0,16.0,541.72,True,False,0.3263732348198,0.491,0.443,179.9,173.3,251.61,318.91,251.85,319.21,422.38,535.35,418.22,530.08
2002,OR,West,265.88,400.0,93.0,594.8,True,False,0.49711180929023,0.484,0.447,179.9,184.7,277.83,417.98,279.18,420.01,479.28,721.05,463.61,697.47
2002,PA,Northeast,292.69,430.0,35.0,619.8,True,False,0.60400606296627,0.521,0.472,179.9,188.2,311.35,457.42,307.33,451.51,504.5,741.18,510.36,749.78
2002,PR,Northeast,111.41,133.0,7.0,277.25,True,False,0.32933536199192,0.44,0.402,179.9,188.2,118.51,141.48,116.98,139.65,192.04,229.25,194.26,231.91
2002,RI,Northeast,302.49,415.0,56.0,580.17,True,False,0.51700874181462,0.557,0.521,179.9,188.2,321.78,441.46,317.62,435.76,521.4,715.33,527.45,723.63
2002,SC,South,209.75,268.0,20.0,488.8,True,False,0.39630070429851,0.472,0.429,179.9,173.3,220.04,281.14,220.24,281.41,369.38,471.96,365.74,467.31
2002,SD,Midwest,208.47,234.0,28.0,470.85,True,False,0.25827549443264,0.478,0.443,179.9,174.9,217.65,244.3,218.9,245.71,346.1,388.49,363.51,408.02
2002,TN,South,212.63,275.0,30.0,526.75,False,True,0.41214036038444,0.451,0.404,179.9,173.3,223.06,288.49,223.27,288.76,374.45,484.28,370.76,479.51
2002,TX,South,262.96,319.0,51.0,651.69,False,False,0.29517067007696,0.484,0.404,179.9,173.3,275.86,334.65,276.12,334.96,463.08,561.77,458.52,556.24
2002,UT,West,284.0,365.0,23.0,607.77,True,False,0.30692252461235,0.507,0.467,179.9,184.7,296.76,381.4,298.21,383.26,511.95,657.96,495.21,636.45
2002,VA,South,291.72,268.0,50.0,649.01,False,True,0.3228457317497,0.543,0.449,179.9,173.3,306.03,281.14,306.31,281.41,513.73,471.96,508.67,467.31
2002,VT,Northeast,251.56,312.0,25.0,522.12,True,False,0.62123129446895,0.516,0.482,179.9,188.2,267.6,331.89,264.14,327.61,433.61,537.79,438.64,544.03
2002,WA,West,332.73,496.0,106.0,696.92,True,False,0.51399978989941,0.51,0.477,179.9,184.7,347.68,518.29,349.38,520.81,599.79,894.1,580.18,864.87
2002,WI,Midwest,254.76,324.0,48.0,562.66,False,True,0.56536766388348,0.492,0.453,179.9,174.9,265.98,338.26,267.51,340.21,422.95,537.91,444.22,564.95
