State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
CO,2016,2,"2,882","2,493",165,3.3,47,94,30.14,30.14,31.9,19,31.9,19
CO,2016,3,"2,916","2,525",167,3.1,47,89,26.24,26.24,29.5,17,29.5,17
CO,2016,4,"2,915","2,525",169,2.7,49,77,26.09,26.09,33.7,15,33.7,15
CO,2017,1,"2,913","2,506",169,2.8,52,81,30.31,30.31,37.5,21,37.5,21
CO,2017,2,"2,946","2,552",172,2.4,52,71,24.72,24.72,34.6,15,34.6,15
CO,2017,3,"2,996","2,578",174,2.6,51,79,21.83,21.83,27.6,18,27.6,18
CO,2017,4,"3,000","2,588",175,2.7,46,80,22.15,22.15,27.7,25,27.7,25
CO,2018,1,"3,017","2,573",175,3.1,51,95,24.26,24.26,25.6,29,25.6,29
CO,2018,2,"3,045","2,619",178,3,41,90,20.81,20.81,23,26,23,26
CO,2018,3,"3,075","2,643",180,3.1,38,96,19.22,19.22,20.1,31,20.1,31
CO,2018,4,"3,080","2,649",182,3,36,91,19.02,19.02,20.9,34,20.9,34
CO,2019,1,"3,079","2,633",181,3.1,47,95,23.02,23.02,24.4,30,24.4,30
CO,2019,2,"3,085","2,680",184,2.5,49,78,18.73,18.73,24,27,24,27
CO,2019,3,"3,124","2,709",184,2.5,47,79,17.21,17.21,21.7,29,21.7,29
CO,2019,4,"3,130","2,711",188,2.5,45,79,18.81,18.81,23.9,30,23.9,30
CO,2020,1,"3,131","2,681",186,3.4,41,107,25.44,25.44,23.7,41,23.7,41
CO,2020,2,"3,053","2,408",189,11.3,28,345,235.98,235.98,68.4,47,68.4,47
CO,2020,3,"3,045","2,533",192,6.3,40,193,187.6,187.72,97.4,21,97.5,23
CO,2020,4,"3,100","2,569",195,6.1,24,189,100.17,110.73,53,29,58.6,30
CT,2015,1,"1,891","1,618",100,6.3,16,118,55.53,55.53,46.9,12,46.9,12
CT,2015,2,"1,902","1,659",100,5.7,19,108,39.63,39.63,36.8,9,36.8,9
CT,2015,3,"1,897","1,637",100,5.6,18,106,40.51,40.51,38.2,6,38.2,6
CT,2015,4,"1,877","1,666",101,5,20,93,34.83,34.83,37.4,12,37.4,12
CT,2016,1,"1,879","1,625",101,5.5,20,104,48.76,48.76,46.9,11,46.9,11
CT,2016,2,"1,893","1,661",102,4.9,21,92,37.99,37.99,41.1,8,41.1,8
CT,2016,3,"1,907","1,644",102,4.9,26,93,41.17,41.17,44.5,5,44.5,5
CT,2016,4,"1,894","1,665",102,4.1,31,78,34.93,34.93,44.7,7,44.7,7
CT,2017,1,"1,919","1,629",102,5,22,96,49.32,49.32,51.4,8,51.4,8
CT,2017,2,"1,931","1,664",103,4.4,17,85,36.58,36.58,43.3,5,43.3,5
CT,2017,3,"1,934","1,645",103,4.5,22,86,37.6,37.6,43.7,4,43.7,4
CT,2017,4,"1,910","1,668",103,3.8,28,73,34.41,34.41,47.2,5,47.2,6
CT,2018,1,"1,903","1,629",104,4.6,21,88,46.23,46.23,52.8,9,52.8,9
CT,2018,2,"1,921","1,666",104,3.9,20,75,34.35,34.35,45.9,3,45.9,3
CT,2018,3,"1,940","1,651",105,3.8,26,74,35.72,35.72,48.2,3,48.2,3
CT,2018,4,"1,931","1,677",105,3.2,30,62,29.37,29.37,47.7,6,47.7,6
CT,2019,1,"1,918","1,629",105,4.1,24,79,41.14,41.14,51.9,7,51.9,7
CT,2019,2,"1,924","1,662",105,3.5,21,66,31.07,31.07,46.7,5,46.7,5
CT,2019,3,"1,947","1,648",106,3.6,23,70,32.75,32.75,46.5,3,46.5,3
CT,2019,4,"1,938","1,671",106,3.2,24,62,29.16,29.16,47.1,6,47.1,6
CT,2020,1,"1,926","1,628",106,4.4,20,84,48.63,48.63,57.6,10,57.6,10
CT,2020,2,"1,868","1,411",106,10.5,32,196,264.36,264.36,134.8,7,134.8,7
CT,2020,3,"1,884","1,504",107,10,11,189,201.72,201.72,106.6,16,106.6,17
CT,2020,4,"1,819","1,562",109,7,14,128,79.9,89.46,62.4,19,69.9,18
DC,2015,1,386,535,31,7.4,3,29,9.17,9.17,32.2,27,32.2,27
DC,2015,2,388,544,32,6.8,4,26,7.97,7.97,30.1,17,30.1,17
DC,2015,3,390,547,32,7.1,3,28,8.94,8.94,32.4,11,32.4,11
DC,2015,4,390,557,33,6.4,3,25,8.34,8.34,33.3,19,33.3,19
DC,2016,1,394,549,32,6.4,7,25,8.12,8.12,32.3,26,32.3,26
DC,2016,2,395,558,33,5.8,8,23,7.44,7.44,32.3,17,32.3,17
DC,2016,3,396,556,33,6.6,4,26,8.39,8.39,32,13,32,13
DC,2016,4,396,561,33,6,5,24,8.24,8.24,34.4,14,34.4,14
DC,2017,1,392,556,33,6.4,5,25,9.21,9.21,36.5,22,36.5,22
DC,2017,2,393,566,33,5.9,5,23,8.76,8.76,37.7,11,37.7,11
DC,2017,3,396,565,34,6.4,3,25,9.17,9.17,36.2,6,36.2,6
DC,2017,4,392,572,34,5.6,4,22,8.86,8.86,40.3,11,40.3,11
DC,2018,1,397,568,34,6,5,24,8.53,8.53,35.7,18,35.7,18
DC,2018,2,397,577,35,5.5,4,22,7.66,7.66,35.2,14,35.2,14
DC,2018,3,394,575,35,5.8,3,23,8.34,8.34,36.4,10,36.4,10
DC,2018,4,394,582,35,5.3,4,21,7.76,7.76,36.8,15,36.8,15
DC,2019,1,399,574,36,6.1,4,24,9.15,9.15,37.6,18,37.6,18
DC,2019,2,400,581,36,5.4,5,21,6.72,6.72,31.3,18,31.3,18
DC,2019,3,403,581,36,5.7,4,23,7.27,7.27,31.9,14,31.9,14
DC,2019,4,401,588,36,5,5,20,6.77,6.77,33.5,19,33.5,19
DC,2020,1,405,583,36,5.7,6,23,9.33,9.33,40.1,23,40.1,23
DC,2020,2,381,505,37,9.3,42,36,64.28,64.28,180.6,3,180.6,3
DC,2020,3,381,512,37,8.8,17,34,66.95,66.99,198.9,2,199,2
DC,2020,4,378,516,37,7.8,8,30,33.32,33.52,112.5,2,113.1,3
DE,2015,1,458,415,27,5.2,35,24,9.02,9.02,37.6,18,37.6,18
DE,2015,2,463,429,28,4.8,32,22,6.6,6.61,29.7,20,29.7,20
DE,2015,3,464,433,28,4.9,29,23,6.68,6.68,29.5,19,29.5,19
DE,2015,4,466,435,28,4.3,33,20,6.28,6.28,31.5,22,31.5,22
DE,2016,1,469,422,28,4.7,33,22,8.13,8.13,36.7,20,36.7,20
DE,2016,2,469,434,29,4.4,33,21,6.17,6.17,30.1,22,30.1,22
DE,2016,3,469,438,29,4.7,33,22,6.21,6.21,28,19,28,19
DE,2016,4,468,437,29,4.2,30,20,5.48,5.48,27.6,25,27.6,25
DE,2017,1,473,427,28,5,22,24,7.42,7.42,31.5,26,31.5,26
DE,2017,2,475,437,29,4.4,17,21,5.66,5.66,27,26,27,26
DE,2017,3,478,441,29,4.6,20,22,5.72,5.72,26,21,26,21
DE,2017,4,475,440,29,3.9,25,18,5,5,27,27,27,27
DE,2018,1,479,431,30,4.3,25,21,6.84,6.84,32.9,23,32.9,23
DE,2018,2,482,444,31,3.7,27,18,4.74,4.74,26.8,20,26.8,20
DE,2018,3,480,445,31,3.7,27,18,5.05,5.05,28.2,16,28.2,16
DE,2018,4,481,445,32,3.1,34,15,4.75,4.75,31.9,19,31.9,19
DE,2019,1,485,437,32,3.8,33,19,5.92,5.92,31.7,23,31.7,23
DE,2019,2,486,449,32,3.4,24,17,4.48,4.48,26.9,22,26.9,22
DE,2019,3,487,452,33,3.8,20,18,5.25,5.25,28.5,17,28.5,17
DE,2019,4,485,450,33,3.2,24,16,4.75,4.75,30.4,22,30.4,22
DE,2020,1,485,439,33,4.4,20,21,7.63,7.63,35.8,25,35.8,25
DE,2020,2,488,394,34,13,16,63,53.44,53.44,84.4,30,84.4,30
DE,2020,3,488,423,34,7.6,28,37,38.79,39.39,104.1,18,105.7,18
DE,2020,4,486,427,34,4.8,36,24,15.69,17.45,66.5,14,74,12
FL,2015,1,"9,550","7,832",499,5.7,29,549,59.72,59.72,10.9,53,10.9,53
FL,2015,2,"9,645","7,870",505,5.6,21,536,55.59,55.59,10.4,53,10.4,53
FL,2015,3,"9,676","7,813",507,5.7,17,548,62.84,62.84,11.5,52,11.5,52
FL,2015,4,"9,687","8,108",513,5.2,19,499,48.82,48.82,9.8,53,9.8,53
FL,2016,1,"9,739","8,111",516,4.9,30,480,42.76,42.76,8.9,53,8.9,53
FL,2016,2,"9,815","8,143",522,4.8,23,468,41.29,41.29,8.8,53,8.8,53
FL,2016,3,"9,908","8,097",520,5.2,17,511,48.89,48.89,9.6,53,9.6,53
FL,2016,4,"9,904","8,338",529,4.7,20,466,38.61,38.61,8.3,52,8.3,52
FL,2017,1,"9,898","8,346",532,4.6,29,452,36.22,36.22,8,53,8,53
FL,2017,2,"9,991","8,349",536,4.2,25,419,38.94,38.94,9.3,53,9.3,53
FL,2017,3,"10,015","8,216",538,4.4,25,446,46.16,46.16,10.4,51,10.4,51
FL,2017,4,"9,987","8,511",543,4,24,396,40.53,40.53,10.2,52,10.2,52
FL,2018,1,"10,040","8,522",545,3.9,34,389,35.56,35.56,9.1,53,9.1,53
FL,2018,2,"10,116","8,525",549,3.6,30,364,34.18,34.18,9.4,53,9.4,53
FL,2018,3,"10,154","8,480",551,3.7,27,378,39.46,39.46,10.4,51,10.4,51
FL,2018,4,"10,164","8,716",558,3.4,27,344,33.85,33.85,9.8,52,9.8,52
FL,2019,1,"10,153","8,712",561,3.4,42,350,30.38,30.38,8.7,52,8.7,52
FL,2019,2,"10,209","8,703",567,3.2,30,326,30.32,30.32,9.3,52,9.3,52
FL,2019,3,"10,318","8,648",568,3.4,28,355,37.4,37.4,10.5,49,10.5,49
FL,2019,4,"10,346","8,897",574,2.9,35,303,31.69,31.69,10.5,50,10.5,50
FL,2020,1,"10,294","8,856",577,3.3,43,345,31.14,31.14,9,53,9,53
FL,2020,2,"9,784","7,815",589,13.1,14,"1,279",524.64,524.64,41,53,41,53
FL,2020,3,"10,120","8,077",599,9.8,12,991,524.92,524.93,52.9,50,52.9,50
FL,2020,4,"10,109","8,445",609,6.6,19,662,211.72,211.72,32,47,32,49
,,,,,,,,,,,,,,
