State,Minimum WBA,Maximum WBA,Year
MS,$30 ,$235 ,2010
MT,$125 ,$422 ,2010
NC,$43 ,$505 ,2010
ND,$43 ,$431 ,2010
NE,$30 ,$318 ,2010
NH,$32 ,$427 ,2010
NJ,$87 ,$600 ,2010
NM,$71 ,$426 ,2010
NV,$16 ,$400 ,2010
NY,$64 ,$405 ,2010
OH,$106 ,$375 ,2010
OK,$16 ,$430 ,2010
OR,$115 ,$493 ,2010
PA,$35 ,$564 ,2010
PR,$7 ,$133 ,2010
RI,$68 ,$546 ,2010
SC,$20 ,$326 ,2010
SD,$28 ,$309 ,2010
TN,$30 ,$275 ,2010
TX,$59 ,$406 ,2010
UT,$29 ,$451 ,2010
VA,$54 ,$378 ,2010
VI,$33 ,$462 ,2010
VT,$64 ,$425 ,2010
WA,$133 ,$560 ,2010
WI,$54 ,$363 ,2010
WV,$24 ,$424 ,2010
WY,$31 ,$438 ,2010
AK,$56 ,$370 ,2011
AL,$45 ,$265 ,2011
AR,$81 ,$451 ,2011
AZ,$60 ,$240 ,2011
CA,$40 ,$450 ,2011
CO,$25 ,$415 ,2011
CT,$15 ,$555 ,2011
DC,$50 ,$359 ,2011
DE,$20 ,$330 ,2011
FL,$32 ,$275 ,2011
GA,$44 ,$330 ,2011
HI,$5 ,$549 ,2011
IA,$56 ,$376 ,2011
ID,$72 ,$336 ,2011
IL,$51 ,$388 ,2011
IN,$50 ,$390 ,2011
KS,$108 ,$435 ,2011
KY,$39 ,$415 ,2011
LA,$10 ,$247 ,2011
MA,$33 ,$625 ,2011
MD,$25 ,$430 ,2011
ME,$62 ,$359 ,2011
MI,$117 ,$362 ,2011
MN,$38 ,$372 ,2011
MO,$35 ,$320 ,2011
MS,$30 ,$235 ,2011
MT,$120 ,$421 ,2011
NC,$43 ,$506 ,2011
ND,$43 ,$442 ,2011
NE,$30 ,$348 ,2011
NH,$32 ,$427 ,2011
NJ,$87 ,$598 ,2011
NM,$72 ,$386 ,2011
NV,$16 ,$398 ,2011
NY,$64 ,$405 ,2011
OH,$108 ,$387 ,2011
OK,$16 ,$358 ,2011
OR,$116 ,$496 ,2011
PA,$35 ,$573 ,2011
PR,$7 ,$133 ,2011
RI,$68 ,$551 ,2011
SC,$42 ,$326 ,2011
SD,$28 ,$314 ,2011
TN,$30 ,$275 ,2011
TX,$60 ,$415 ,2011
UT,$29 ,$452 ,2011
VA,$54 ,$378 ,2011
VI,$33 ,$462 ,2011
VT,$64 ,$425 ,2011
WA,$135 ,$570 ,2011
WI,$54 ,$363 ,2011
WV,$24 ,$424 ,2011
WY,$31 ,$430 ,2011
AK,$56 ,$370 ,2012
AL,$45 ,$265 ,2012
AR,$82 ,$457 ,2012
AZ,$60 ,$240 ,2012
CA,$40 ,$450 ,2012
CO,$25 ,$454 ,2012
CT,$15 ,$573 ,2012
DC,$50 ,$359 ,2012
DE,$20 ,$330 ,2012
FL,$32 ,$275 ,2012
GA,$44 ,$330 ,2012
HI,$5 ,$523 ,2012
IA,$57 ,$385 ,2012
ID,$72 ,$343 ,2012
IL,$51 ,$403 ,2012
IN,$50 ,$390 ,2012
KS,$111 ,$444 ,2012
KY,$39 ,$415 ,2012
LA,$10 ,$247 ,2012
MA,$33 ,$653 ,2012
MD,$50 ,$430 ,2012
ME,$64 ,$366 ,2012
MI,$117 ,$362 ,2012
MN,$38 ,$385 ,2012
MO,$35 ,$320 ,2012
MS,$30 ,$235 ,2012
MT,$123 ,$431 ,2012
NC,$45 ,$522 ,2012
ND,$43 ,$470 ,2012
NE,$70 ,$354 ,2012
NH,$32 ,$427 ,2012
NJ,$87 ,$611 ,2012
NM,$74 ,$397 ,2012
NV,$16 ,$396 ,2012
NY,$64 ,$405 ,2012
OH,$111 ,$400 ,2012
OK,$16 ,$368 ,2012
OR,$118 ,$507 ,2012
PA,$35 ,$573 ,2012
PR,$7 ,$133 ,2012
RI,$68 ,$566 ,2012
SC,$42 ,$326 ,2012
SD,$28 ,$323 ,2012
TN,$30 ,$275 ,2012
TX,$61 ,$426 ,2012
UT,$25 ,$467 ,2012
VA,$54 ,$378 ,2012
VI,$33 ,$495 ,2012
VT,$68 ,$425 ,2012
WA,$138 ,$583 ,2012
WI,$54 ,$363 ,2012
WV,$24 ,$424 ,2012
WY,$32 ,$444 ,2012
AK,$56 ,$370 ,2013
AL,$45 ,$265 ,2013
AR,$81 ,$451 ,2013
AZ,$122 ,$240 ,2013
CA,$40 ,$450 ,2013
CO,$25 ,$466 ,2013
CT,$15 ,$591 ,2013
DC,$50 ,$359 ,2013
DE,$20 ,$330 ,2013
FL,$32 ,$275 ,2013
GA,$44 ,$330 ,2013
HI,$5 ,$534 ,2013
IA,$59 ,$396 ,2013
ID,$72 ,$357 ,2013
IL,$51 ,$413 ,2013
IN,$37 ,$390 ,2013
KS,$114 ,$456 ,2013
KY,$39 ,$415 ,2013
LA,$10 ,$247 ,2013
MA,$33 ,$674 ,2013
MD,$50 ,$430 ,2013
ME,$65 ,$372 ,2013
MI,$117 ,$362 ,2013
MN,$24 ,$393 ,2013
MO,$35 ,$320 ,2013
MS,$30 ,$235 ,2013
MT,$127 ,$446 ,2013
NC,$46 ,$535 ,2013
ND,$43 ,$516 ,2013
NE,$70 ,$362 ,2013
NH,$32 ,$427 ,2013
NJ,$87 ,$624 ,2013
NM,$76 ,$407 ,2013
NV,$16 ,$402 ,2013
NY,$64 ,$405 ,2013
OH,$115 ,$413 ,2013
OK,$16 ,$386 ,2013
OR,$122 ,$524 ,2013
PA,$70 ,$573 ,2013
PR,$7 ,$133 ,2013
RI,$45 ,$566 ,2013
SC,$42 ,$326 ,2013
SD,$28 ,$333 ,2013
TN,$30 ,$275 ,2013
TX,$62 ,$440 ,2013
UT,$26 ,$479 ,2013
VA,$54 ,$378 ,2013
VI,$33 ,$491 ,2013
VT,$69 ,$425 ,2013
